pegon,latin
دِيْنِڠْ,diY.nin_g.
بَنْۑَاءْنَ,ban.n_yaA'.na
عُوْرِيڠْ,'uW.riYn_g.
اَتَوَا,atawa
بِيْنِئْ,biY.ni'.
سِيْ,siY.
تَاءْ,taA'.
كِيْڠِيڠْ,kiY.n_giYn_g.
عِىْ,'i^y.
نِكَاحْ,nikaAh_h.
فَنِكَا,fanikaA
ࢮُوَاءْ,d_huwaA'.
بَلَّاسْ,ballaAs.
سِتُّوڠْ,sittuWn_g.
اَمْبُؤْنَ,am.bu'.na
اَفَّانْ,affaAn.
تٓرُّوسْ,t^erruWs.
ࢮَاءْ,d_haA'.
آمْبَا,^em.baA
اَرْتِيْنَهْ,ar.tiY.nah.
جَاهِيْنَهْ,jaAhiY.nah.
دَاءْ,daA'.
جُوْجُوءْ,juW.juW'.
كَاكُومْفُويْ,kaAkuWm.fuWy.
تٓلُّوءْ,t^elluW'.
تَرِّيْتَنَّهْ,tarriY.tannah.
آمْفَاءْ,^em.faA'.
مَجَاࢮِىْ,majaAd_hi^y.
ࢮَارِىْ,d_haAri^y.
آفَّاءْنَ,^effaA'.na
آفَّاءْ,^effaA'.
آمْبُوءْ,^em.buW'.
تُوڠڮَالْ,tuWn_ggaAl.
مَالُوْلُوهْ,maAluW.luWh.
تُوڠْڮَالْ,tuWn_g.gaAl.
سُوْسُونْ,suW.suWn.
مَجَاࢮِئْ,majaAd_hi'.
آمْبُؤْنَ,^em.bu'.na
آنّٓمْ,^enn^em.
اَنَاءْنَ,anaA'.na
تَرِيْتَانْ,tariY.taAn.
فِتُّوءْ,fittuW'.
بِنِئْ,bini'.
بَلُّوءْ,balluW'.
آمْبُوءْنَ,^em.buW'.na
ۑُوْسُوْهِىْ,n_yuW.suW.hi^y.
سَڠَاءْ,san_gaA'.
تٓرِيْتَانْ,t^eriY.taAn.
سِىْ,si^y.
تَوڠْڮَالْ,taun_g.gaAl.
سُوْسُوهْ,suW.suWh.
ࢮَافَاءْ,d_haAfaA'.
لِمَاءْ,limaA'.
سُوْسُوَانْ,suW.suWaAn.
سٓڤُوْلُوهْ,s^epuW.luWh.
مَتُّوَا,mattuWaA
بٓنْ,b^en.
مٓتُّوَا,m^ettuWaA
كَااَتَاسْ,kaAataAs.
سَبٓلَّاسْ,sab^ellaAs.
كَابَلُّونْ,kaAballuWn.
تَاهُوْ,taAhuW.
عِىْ,'i^y.
اَفَاءْنَ,afaA'.na
دِيْبِئْ,diY.bi'.
تُورْ,tuWr.
سَمْفِئْ,sam.fi'.
جِمَاعْ,jimaA'.
بٓلَّاسْ,b^ellaAs.
لَاكِىْ,laAki^y.
عُوْلِّيْنَهْ,'uW.lliY.nah.
بَنْ,ban.
عُوْرِيْڠْ,'uW.riY.n_g.
لَاهِينْ,laAhiYn.
اَنَاءْ,anaA'.
فَࢮَا,fad_haA
بَاهِى,baAhi^y
ڮِئْ,gi'.
چٓكَّاءْ,c^ekkaA'.
اَمْڤُونْ,am.puWn.
طَلَاقْ,t_talaAq.
تٓتٓفْ,t^et^ef.
ڮَفَنِكَا,gafanikaA
مَحْرَمَّهْ,mah_h.rammah.
مَحْرَمْ,mah_h.ram.
عِيْ,'iY.
بَطَلْ,bat_tal.
وُضُوءْ,wud_luW'.
سَاءْ,saA'.
اُوْفَمَا,uW.famaA
تَسٓدِّيڠْ,tas^eddiYn_g.
دِيْنِعْ,diY.ni'.
رُكُوْنَّهْ,rukuW.nnah.
سِتُّوْڠْ,sittuW.n_g.
وَلِى,wali^y
فَڠَنْتَانْ,fan_gan.taAn.
لَاكِئْ,laAki'.
تٓلُوءْ,t^eluW'.
أٓمْفَاءْ,^em.faA'.
سَكْسِى,sak.si^y
صِغَةْ,s_hig_hat.
اِيْجَابْ,iY.jaAb.
قَبُولْ,qabuWl.
رُوْفَانَ,ruW.faAna
اَكَادِيَا,akaAdiYaA
ࢮَابُوْنَ,d_haAbuW.na
وَلِّى,walli^y
سِڠْكُوءْ,sin_g.kuW'.
مَنِكَاحْ,manikaAh_h.
اَۑَمَا,an_yamaA
فُلَانَةْ,fulaAnat.
كٓلَابَنْ,k^elaAban.
مَسْكَابِينْ,mas.kaAbiYn.
اُوْفَمَا,uW.famaA
تٓفْتٓفَاڮِىْ,t^ef.t^efaAgi^y.
رُوْفَنَهْ,ruW.fanah.
قَبُوْلْ,qabuW.l.
فٓڠَنْتَانْ,f^en_gan.taAn.
قَبِلْتُ,qabil.tu
نِكَحَهَا,nikah_hahaA
لِنَفْسِىْ,linaf.si^y.
بِذَلِكْ,bid_zalik.
نٓرِيْمَهْ,n^eriY.mah.
كُوْلَا,kuW.laA
عُوْرِيْع,'uW.riY.'
سَمْفِيَانْ,sam.fiYaAn.
دِيْبِيئْ,diY.biY'.
كٓسٓبُوةْ,k^es^ebuWt.
شَرَّطْ,s_yarrat_t.
اَصَحْنَهْ,as_hah_h.nah.
تٓلُوءْ,t^eluW'.
كُوْدُوْ,kuW.duW.
حَلَالَّهْ,h_halaAllah.
بَنِّى,banni^y
مَحْرَمَّهْ,mah_h.rammah.
تٓرْتٓنْتُوهْ,t^er.t^en.tuWh.
لَاكِئْنَهْ,laAki'.nah.
بِيْنِيئْنَهْ,biY.niY'.nah.
عُوْرِيڠْ,'uW.riYn_g.
عِيْࢮَا,'iY.d_haA
لٓمْ,l^em.
عِدَّةْ,'iddat.
شَرَطَّهْ,s_yarat_tt_tah.
وَلِي,waliY
سَڠَاءْ,san_gaA'.
اِخْتِيَارْ,ik_h.tiYaAr.
بَالِغْ,baAlig_h.
اَمْفَاءْ,am.faA'.
اَنْࢮِئْ,an.d_hi'.
عَادِلْ,'aAdil.
