pegon,latin
اَلَّذِىْ,allad_zi^y.
اَقَامَ,aqaAma
بِغَيْرِ,big_hay.ri
عِمَادٍ,'imaAdin-
سَدَايَا,sadaAyaA
فُوْجِى,fuW.ji^y
كَڮُوڠَنْ,kaguWn_gan.
ڠَجَدِكٓن,n_gajadik^en
تُوْجُهْ,tuW.juh.
لَافِسْ,laAfis.
تٓڠَڠْڮَو,t^en_gan_g.go
تِهَاڠْ,tihaAn_g.
عَلىَ,'al^ya
الْمُصْطَفَ,al.mus.t_tafa
هُوَ,huwa
جَامِعِ,jaAmi'i
الْبِلَادِ,al.bilaAdi
رَحْمَةْ,rah_h.mat.
سَرٓڠْ,sar^en_g.
سَلَامْنَا,salaAm.naA
مُڮِى,mugi^y
دِلِمْڤَهْكٓنْ,dilim.pah.k^en.
نَبِى,nabi^y
فِلِيهَنْ,filiYhan.
اَنْتَيْرَوْ,an.te.ro.
سَكَابَيْه,sakaAbe.h
جَڮَتْ,jagat.
رَايَا,raAyaA
وَعَلٰ,wa'ala
اَلِهِ,alihi
مُحِبِّى,muh_hibbi^y
الْفُقَرَاءِ,al.fuqaraA'i
اَرِىْ,ari^y.
صَمَدْ,s_hamad.
ڤُتْرَا,put.raA
جٓڠْ,j^en_g.
حُسَينْ,h_husain.
فَقِير,faqiYr
اِعْلَمْ,i'.lam.
كَۑٓهَوْكٓنْ,kan_y^eho.k^en.
كُوْ,kuW.
اَنْجٓنْ,an.j^en.
هَيْ,he.
طَالِبْ,t_taAlib.
تٓڮٓسْنَا,t^eg^es.naA
اِيٓ,iY^e
كِتَابْ,kitaAb.
دِاَتُورْ,diatuWr.
رَاڤِي,raApiY
نٓرَاڠْكٓنْ,n^eraAn_g.k^en.
رُڤِي,rupiY
دِاَنْتَرَانَا,dian.taraAnaA
لَالِي,laAliY
ڤِكِيْر,pikiY.r
عِلْمُ,'il.mu
بٓبٓلْ,b^eb^el.
عَقَلْ,'aqal.
اَيْدَانْ,e.daAn.
بٓڠْهَارْ,b^en_g.haAr.
هَاوٓكْ,haAw^ek.
نُمَاوِي,numaAwiY
دِنَامِيَانْ,dinaAmiYaAn.
اَنَسُ,anasu
الْمُتَّقِينْ,al.muttaqiYn.
اَنُوْ,anuW.
سٓئٓرْنَا,s^e'^er.naA
لِمَا,limaA
بَابْ,baAb.
سٓسُوَايْ,s^esuWaAy.
رُكُنْ,rukun.
ڤٓرْكَرَا,p^er.karaA
كَاهِجِ,kaAhiji
بَدَيْ,bade.
تَفَكُّرْ,tafakkur.
ۑَا,n_yaA
اَيْتَ,e.ta
كَۑَهَوْكٓنْ,kan_yaho.k^en.
هِجِ,hiji
ڠَرُكْسَكْ,n_garuk.sak.
كَهَادَيْيَنْ,kahaAde.yan.
ڤِكٓنْ,pik^en.
تَقْوَ,taq.wa
تِيَاسَ,tiYaAsa
ڠَڠْڮَرَانْكٓرْ,n_gan_g.garaAn.k^er.
نُجُوْ,nujuW.
عَمَلْ,'amal.
صَالِحْ,s_haAlih_h.
جَلْمَ,jal.ma
سَلَامِينَا,salaAmiYnaA
اَيَادِنَا,ayaAdinaA
كَبَڮْجَائَنْ,kabag.jaA'an.
ڠَدَاوُهْ,n_gadaAwuh.
يَصْدُرُ,yas.duru
الْنَّاسُ,al.nnaAsu
اَشْتَاتْ,as_y.taAt.
اَعۡمَالَهُمۡ,a'^.maAlahum^.
سَرَّايَّرَهُ,sarraAyyarahu
هَرْتَوسْنَا,har.tos.naA
ڤَوْوَيْ,po.we.
بَكَلْ,bakal.
اِنْدِيتْ,in.diYt.
ڤَبُوْرِسَتْ,pabuW.risat.
لَنْتَرَانَ,lan.taraAna
كَمَرَانَيهْنَا,kamaraAneh.naA
بَارِسْ,baAris.
دِتِيمْبَوڠْكٓنْ,ditiYm.bon_g.k^en.
سٓڮَلَ,s^egala
كَهَا,kahaA
دَيْيَنْ,de.yan.
سَنَجَنْ,sanajan.
ڠَنْ,n_gan.
بٓرَاتْ,b^eraAt.
بُولْ,buWl.
مُسْتِى,mus.ti^y
مَنَيهْنَا,maneh.naA
نَينْجَو,nen.jo
هَدَيْنَا,hade.naA
سِڠْ,sin_g.
سَهَا,sahaA
ڠَلَمفَهْكٓنْ,n_galamfah.k^en.
سَابَرَاتْ,saAbaraAt.
كٓبُولْ,k^ebuWl.
ڤَسْتِى,pas.ti^y
مَنَهْنَا,manah.naA
جَهَتْنَا,jahat.naA
شَعِيرْ,s_ya'iYr.
لَمُوْنَ,lamuW.na
ڤِوٓلَسْ,piw^elas.
ۑَرِتَا,n_yaritaA
لَوْ,lo.
بَادِڮَوَيْ,baAdigawe.
سَبَالِكْنَا,sabaAlik.naA
مَوْاَلْ,mo.al.
تَڤِي,tapiY
لَوْبَا,lo.baA
بَرِيْ,bariY.
تٓبِسَادِ,t^ebisaAdi
ڮَوَيْ,goe.
سَبَبْ,sabab.
كِتُوْ,kituW.
ڮٓرَا,g^eraA
ڤٓرَاكْ,p^eraAk.
عَمَلْكٓنْ,'amal.k^en.
نُوهَادَيْ,nuWhaAde.
تٓبِهَانْ,t^ebihaAn.
نُوْتٓهَادَيْ,nuW.t^ehaAde.
ڮَوْرَيْڠ,go.re.n_g
مَشْهُوْرٌ,mas_y.huW.run-
ذَرَّةٍ,d_zarratin-
يَوْمَئِذٍ,yo.ma'id_zin-
